item_id,question_id,question,answer,K,true_score,judge_score,judge_model,gold_e1,gold_e2,gold_e3,gold_e4,gold_e5,gold_e6,gold_e7,gold_e8,gold_e9,gold_e10,judge_e1,judge_e2,judge_e3,judge_e4,judge_e5,judge_e6,judge_e7,judge_e8,judge_e9,judge_e10,element_1_text,element_2_text,element_3_text,element_4_text,element_5_text,element_6_text,element_7_text,element_8_text,element_9_text,element_10_text
0,10,Why do we experience seasons on Earth?,"Axial tilt also causes longer daylight hours in summer and shorter daylight hours in winter for a hemisphere. Both hemispheres experience summer and winter at the same time because tilt affects the whole planet equally. Equinoxes and solstices mark points in Earth's orbit related to the tilt's orientation toward the Sun. During winter, sunlight strikes at a shallower angle, spreading energy over a larger area, reducing heating. The direction of Earth's axial tilt remains fixed relative to the stars as Earth orbits the Sun. Seasons occur identically in both hemispheres at the same time because the tilt affects global temperature uniformly. Earth's axis has no fixed tilt and wobbles randomly month to month, causing the changing seasons. This axial tilt causes different hemispheres to receive varying amounts of direct sunlight over the year.",10,5,5.0,claude-haiku-4-5-20251001,0,1,0,1,1,0,0,1,0,1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,"Earth's rotational axis is tilted relative to its orbital plane, about 23.5 degrees",This axial tilt causes different hemispheres to receive varying amounts of direct sunlight over the year,"Sunlight strikes the tilted hemisphere at a more direct angle during its summer, concentrating energy","During winter, sunlight strikes at a shallower angle, spreading energy over a larger area, reducing heating",Axial tilt also causes longer daylight hours in summer and shorter daylight hours in winter for a hemisphere,The hemisphere tilted toward the Sun experiences summer while the opposite hemisphere experiences winter simultaneously,"Earth's orbit around the Sun is nearly circular, so distance from the Sun is not the main cause of seasons",The direction of Earth's axial tilt remains fixed relative to the stars as Earth orbits the Sun,Seasons reverse between the Northern and Southern Hemispheres because they tilt toward or away from the Sun oppositely,Equinoxes and solstices mark points in Earth's orbit related to the tilt's orientation toward the Sun
1,10,Why do we experience seasons on Earth?,"This axial tilt causes different hemispheres to receive varying amounts of direct sunlight over the year. During winter, sunlight strikes at a shallower angle, spreading energy over a larger area, reducing heating. Earth is actually closer to the Sun during Northern Hemisphere winter, which is why that hemisphere is colder. The axial tilt direction shifts to point at a new star every few months, driving the season change. Seasons occur because Earth's distance from the Sun changes significantly as it orbits, being closer in summer. Sunlight strikes the tilted hemisphere at a more direct angle during its summer, concentrating energy. Seasons occur identically in both hemispheres at the same time because the tilt affects global temperature uniformly.",10,3,3.0,claude-haiku-4-5-20251001,0,1,1,1,0,0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"Earth's rotational axis is tilted relative to its orbital plane, about 23.5 degrees",This axial tilt causes different hemispheres to receive varying amounts of direct sunlight over the year,"Sunlight strikes the tilted hemisphere at a more direct angle during its summer, concentrating energy","During winter, sunlight strikes at a shallower angle, spreading energy over a larger area, reducing heating",Axial tilt also causes longer daylight hours in summer and shorter daylight hours in winter for a hemisphere,The hemisphere tilted toward the Sun experiences summer while the opposite hemisphere experiences winter simultaneously,"Earth's orbit around the Sun is nearly circular, so distance from the Sun is not the main cause of seasons",The direction of Earth's axial tilt remains fixed relative to the stars as Earth orbits the Sun,Seasons reverse between the Northern and Southern Hemispheres because they tilt toward or away from the Sun oppositely,Equinoxes and solstices mark points in Earth's orbit related to the tilt's orientation toward the Sun
2,10,Why do we experience seasons on Earth?,"This axial tilt causes different hemispheres to receive varying amounts of direct sunlight over the year. The direction of Earth's axial tilt remains fixed relative to the stars as Earth orbits the Sun. During winter, sunlight strikes at a shallower angle, spreading energy over a larger area, reducing heating. Earth's rotational axis is tilted relative to its orbital plane, about 23.5 degrees. Seasons reverse between the Northern and Southern Hemispheres because they tilt toward or away from the Sun oppositely. Axial tilt also causes longer daylight hours in summer and shorter daylight hours in winter for a hemisphere. The hemisphere tilted toward the Sun experiences summer while the opposite hemisphere experiences winter simultaneously. Equinoxes and solstices mark points in Earth's orbit related to the tilt's orientation toward the Sun. Sunlight strikes the tilted hemisphere at a more direct angle during its summer, concentrating energy. Earth's orbit around the Sun is nearly circular, so distance from the Sun is not the main cause of seasons.",10,10,10.0,claude-haiku-4-5-20251001,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Earth's rotational axis is tilted relative to its orbital plane, about 23.5 degrees",This axial tilt causes different hemispheres to receive varying amounts of direct sunlight over the year,"Sunlight strikes the tilted hemisphere at a more direct angle during its summer, concentrating energy","During winter, sunlight strikes at a shallower angle, spreading energy over a larger area, reducing heating",Axial tilt also causes longer daylight hours in summer and shorter daylight hours in winter for a hemisphere,The hemisphere tilted toward the Sun experiences summer while the opposite hemisphere experiences winter simultaneously,"Earth's orbit around the Sun is nearly circular, so distance from the Sun is not the main cause of seasons",The direction of Earth's axial tilt remains fixed relative to the stars as Earth orbits the Sun,Seasons reverse between the Northern and Southern Hemispheres because they tilt toward or away from the Sun oppositely,Equinoxes and solstices mark points in Earth's orbit related to the tilt's orientation toward the Sun
3,10,Why do we experience seasons on Earth?,"Equinoxes occur when Earth is at its closest orbital distance to the Sun each year. Axial tilt also causes longer daylight hours in summer and shorter daylight hours in winter for a hemisphere. Seasons occur because Earth's distance from the Sun changes significantly as it orbits, being closer in summer. The axial tilt direction shifts to point at a new star every few months, driving the season change. Earth's axis has no fixed tilt and wobbles randomly month to month, causing the changing seasons. The hemisphere tilted toward the Sun experiences summer while the opposite hemisphere experiences winter simultaneously. During winter, sunlight strikes at a shallower angle, spreading energy over a larger area, reducing heating. This axial tilt causes different hemispheres to receive varying amounts of direct sunlight over the year.",10,4,4.0,claude-haiku-4-5-20251001,0,1,0,1,1,1,0,0,0,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,"Earth's rotational axis is tilted relative to its orbital plane, about 23.5 degrees",This axial tilt causes different hemispheres to receive varying amounts of direct sunlight over the year,"Sunlight strikes the tilted hemisphere at a more direct angle during its summer, concentrating energy","During winter, sunlight strikes at a shallower angle, spreading energy over a larger area, reducing heating",Axial tilt also causes longer daylight hours in summer and shorter daylight hours in winter for a hemisphere,The hemisphere tilted toward the Sun experiences summer while the opposite hemisphere experiences winter simultaneously,"Earth's orbit around the Sun is nearly circular, so distance from the Sun is not the main cause of seasons",The direction of Earth's axial tilt remains fixed relative to the stars as Earth orbits the Sun,Seasons reverse between the Northern and Southern Hemispheres because they tilt toward or away from the Sun oppositely,Equinoxes and solstices mark points in Earth's orbit related to the tilt's orientation toward the Sun
4,10,Why do we experience seasons on Earth?,"Earth is actually closer to the Sun during Northern Hemisphere winter, which is why that hemisphere is colder. The direction of Earth's axial tilt remains fixed relative to the stars as Earth orbits the Sun. Seasons occur identically in both hemispheres at the same time because the tilt affects global temperature uniformly. Direct sunlight angle has no real effect on heating; only day length determines seasonal temperature. Earth's axis has no fixed tilt and wobbles randomly month to month, causing the changing seasons. Both hemispheres experience summer and winter at the same time because tilt affects the whole planet equally. Equinoxes and solstices mark points in Earth's orbit related to the tilt's orientation toward the Sun. This axial tilt causes different hemispheres to receive varying amounts of direct sunlight over the year. Axial tilt also causes longer daylight hours in summer and shorter daylight hours in winter for a hemisphere.",10,4,4.0,claude-haiku-4-5-20251001,0,1,0,0,1,0,0,1,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,"Earth's rotational axis is tilted relative to its orbital plane, about 23.5 degrees",This axial tilt causes different hemispheres to receive varying amounts of direct sunlight over the year,"Sunlight strikes the tilted hemisphere at a more direct angle during its summer, concentrating energy","During winter, sunlight strikes at a shallower angle, spreading energy over a larger area, reducing heating",Axial tilt also causes longer daylight hours in summer and shorter daylight hours in winter for a hemisphere,The hemisphere tilted toward the Sun experiences summer while the opposite hemisphere experiences winter simultaneously,"Earth's orbit around the Sun is nearly circular, so distance from the Sun is not the main cause of seasons",The direction of Earth's axial tilt remains fixed relative to the stars as Earth orbits the Sun,Seasons reverse between the Northern and Southern Hemispheres because they tilt toward or away from the Sun oppositely,Equinoxes and solstices mark points in Earth's orbit related to the tilt's orientation toward the Sun
5,10,Why do we experience seasons on Earth?,"Sunlight strikes the tilted hemisphere at a more direct angle during its summer, concentrating energy. Equinoxes occur when Earth is at its closest orbital distance to the Sun each year. This axial tilt causes different hemispheres to receive varying amounts of direct sunlight over the year. Earth's orbit around the Sun is nearly circular, so distance from the Sun is not the main cause of seasons. The hemisphere tilted toward the Sun experiences summer while the opposite hemisphere experiences winter simultaneously. Seasons reverse between the Northern and Southern Hemispheres because they tilt toward or away from the Sun oppositely. The direction of Earth's axial tilt remains fixed relative to the stars as Earth orbits the Sun. Axial tilt also causes longer daylight hours in summer and shorter daylight hours in winter for a hemisphere. Direct sunlight angle has no real effect on heating; only day length determines seasonal temperature.",10,7,7.0,claude-haiku-4-5-20251001,0,1,1,0,1,1,1,1,1,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"Earth's rotational axis is tilted relative to its orbital plane, about 23.5 degrees",This axial tilt causes different hemispheres to receive varying amounts of direct sunlight over the year,"Sunlight strikes the tilted hemisphere at a more direct angle during its summer, concentrating energy","During winter, sunlight strikes at a shallower angle, spreading energy over a larger area, reducing heating",Axial tilt also causes longer daylight hours in summer and shorter daylight hours in winter for a hemisphere,The hemisphere tilted toward the Sun experiences summer while the opposite hemisphere experiences winter simultaneously,"Earth's orbit around the Sun is nearly circular, so distance from the Sun is not the main cause of seasons",The direction of Earth's axial tilt remains fixed relative to the stars as Earth orbits the Sun,Seasons reverse between the Northern and Southern Hemispheres because they tilt toward or away from the Sun oppositely,Equinoxes and solstices mark points in Earth's orbit related to the tilt's orientation toward the Sun
6,10,Why do we experience seasons on Earth?,"Equinoxes and solstices mark points in Earth's orbit related to the tilt's orientation toward the Sun. The direction of Earth's axial tilt remains fixed relative to the stars as Earth orbits the Sun. Seasons occur because Earth's distance from the Sun changes significantly as it orbits, being closer in summer. Sunlight strikes the tilted hemisphere at a more direct angle during its summer, concentrating energy. This axial tilt causes different hemispheres to receive varying amounts of direct sunlight over the year. The hemisphere tilted toward the Sun experiences summer while the opposite hemisphere experiences winter simultaneously. Earth's orbit around the Sun is nearly circular, so distance from the Sun is not the main cause of seasons. Axial tilt also causes longer daylight hours in summer and shorter daylight hours in winter for a hemisphere. Seasons reverse between the Northern and Southern Hemispheres because they tilt toward or away from the Sun oppositely. During winter, sunlight strikes at a shallower angle, spreading energy over a larger area, reducing heating.",10,9,9.0,claude-haiku-4-5-20251001,0,1,1,1,1,1,1,1,1,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Earth's rotational axis is tilted relative to its orbital plane, about 23.5 degrees",This axial tilt causes different hemispheres to receive varying amounts of direct sunlight over the year,"Sunlight strikes the tilted hemisphere at a more direct angle during its summer, concentrating energy","During winter, sunlight strikes at a shallower angle, spreading energy over a larger area, reducing heating",Axial tilt also causes longer daylight hours in summer and shorter daylight hours in winter for a hemisphere,The hemisphere tilted toward the Sun experiences summer while the opposite hemisphere experiences winter simultaneously,"Earth's orbit around the Sun is nearly circular, so distance from the Sun is not the main cause of seasons",The direction of Earth's axial tilt remains fixed relative to the stars as Earth orbits the Sun,Seasons reverse between the Northern and Southern Hemispheres because they tilt toward or away from the Sun oppositely,Equinoxes and solstices mark points in Earth's orbit related to the tilt's orientation toward the Sun
7,10,Why do we experience seasons on Earth?,"Daylight hours stay constant all year at every latitude, so seasons are caused solely by solar distance. Sunlight strikes the tilted hemisphere at a more direct angle during its summer, concentrating energy. Earth's orbit around the Sun is nearly circular, so distance from the Sun is not the main cause of seasons. The hemisphere tilted toward the Sun experiences summer while the opposite hemisphere experiences winter simultaneously. The axial tilt direction shifts to point at a new star every few months, driving the season change.",10,3,3.0,claude-haiku-4-5-20251001,0,0,1,0,0,1,1,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,"Earth's rotational axis is tilted relative to its orbital plane, about 23.5 degrees",This axial tilt causes different hemispheres to receive varying amounts of direct sunlight over the year,"Sunlight strikes the tilted hemisphere at a more direct angle during its summer, concentrating energy","During winter, sunlight strikes at a shallower angle, spreading energy over a larger area, reducing heating",Axial tilt also causes longer daylight hours in summer and shorter daylight hours in winter for a hemisphere,The hemisphere tilted toward the Sun experiences summer while the opposite hemisphere experiences winter simultaneously,"Earth's orbit around the Sun is nearly circular, so distance from the Sun is not the main cause of seasons",The direction of Earth's axial tilt remains fixed relative to the stars as Earth orbits the Sun,Seasons reverse between the Northern and Southern Hemispheres because they tilt toward or away from the Sun oppositely,Equinoxes and solstices mark points in Earth's orbit related to the tilt's orientation toward the Sun
8,10,Why do we experience seasons on Earth?,"During winter, sunlight strikes at a shallower angle, spreading energy over a larger area, reducing heating. The hemisphere tilted toward the Sun experiences summer while the opposite hemisphere experiences winter simultaneously. Daylight hours stay constant all year at every latitude, so seasons are caused solely by solar distance. Equinoxes occur when Earth is at its closest orbital distance to the Sun each year. Sunlight strikes the tilted hemisphere at a more direct angle during its summer, concentrating energy. Seasons reverse between the Northern and Southern Hemispheres because they tilt toward or away from the Sun oppositely. Earth is actually closer to the Sun during Northern Hemisphere winter, which is why that hemisphere is colder.",10,4,5.0,claude-haiku-4-5-20251001,0,0,1,1,0,1,0,0,1,0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,"Earth's rotational axis is tilted relative to its orbital plane, about 23.5 degrees",This axial tilt causes different hemispheres to receive varying amounts of direct sunlight over the year,"Sunlight strikes the tilted hemisphere at a more direct angle during its summer, concentrating energy","During winter, sunlight strikes at a shallower angle, spreading energy over a larger area, reducing heating",Axial tilt also causes longer daylight hours in summer and shorter daylight hours in winter for a hemisphere,The hemisphere tilted toward the Sun experiences summer while the opposite hemisphere experiences winter simultaneously,"Earth's orbit around the Sun is nearly circular, so distance from the Sun is not the main cause of seasons",The direction of Earth's axial tilt remains fixed relative to the stars as Earth orbits the Sun,Seasons reverse between the Northern and Southern Hemispheres because they tilt toward or away from the Sun oppositely,Equinoxes and solstices mark points in Earth's orbit related to the tilt's orientation toward the Sun
9,10,Why do we experience seasons on Earth?,"Seasons reverse between the Northern and Southern Hemispheres because they tilt toward or away from the Sun oppositely. The direction of Earth's axial tilt remains fixed relative to the stars as Earth orbits the Sun. Earth's axis has no fixed tilt and wobbles randomly month to month, causing the changing seasons. Daylight hours stay constant all year at every latitude, so seasons are caused solely by solar distance. This axial tilt causes different hemispheres to receive varying amounts of direct sunlight over the year. Earth's orbit around the Sun is nearly circular, so distance from the Sun is not the main cause of seasons. Seasons occur because Earth's distance from the Sun changes significantly as it orbits, being closer in summer. Equinoxes and solstices mark points in Earth's orbit related to the tilt's orientation toward the Sun. During winter, sunlight strikes at a shallower angle, spreading energy over a larger area, reducing heating.",10,6,6.0,claude-haiku-4-5-20251001,0,1,0,1,0,0,1,1,1,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,"Earth's rotational axis is tilted relative to its orbital plane, about 23.5 degrees",This axial tilt causes different hemispheres to receive varying amounts of direct sunlight over the year,"Sunlight strikes the tilted hemisphere at a more direct angle during its summer, concentrating energy","During winter, sunlight strikes at a shallower angle, spreading energy over a larger area, reducing heating",Axial tilt also causes longer daylight hours in summer and shorter daylight hours in winter for a hemisphere,The hemisphere tilted toward the Sun experiences summer while the opposite hemisphere experiences winter simultaneously,"Earth's orbit around the Sun is nearly circular, so distance from the Sun is not the main cause of seasons",The direction of Earth's axial tilt remains fixed relative to the stars as Earth orbits the Sun,Seasons reverse between the Northern and Southern Hemispheres because they tilt toward or away from the Sun oppositely,Equinoxes and solstices mark points in Earth's orbit related to the tilt's orientation toward the Sun
